pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
FCGR3A-mediated Phagocytosis R-HSA-9664422,Reactome,3,45,4.01,2.39,1.32,0.09298612316880467,"CYFIP1, MYH2, TARP",0.4008614699491224
M Phase R-HSA-68886,Reactome,12,357,2.02,3.14,1.32,0.09404146775982347,"CHMP4C, GOLGA2, H2AX, H3-4, NCAPD2, PPP2CA, PPP2R2D, PRKCA, PSMC2, PSMC5, SEM1, TUBAL3",0.4008614699491224
Translation Initiation Complex Formation R-HSA-72649,Reactome,3,54,3.34,1.69,1.31,0.09468774337672009,"EIF3J, EIF4A2, EIF4B",0.4008614699491224
Recruitment And ATM-mediated Phosphorylation Of Repair And Signal Proteins At DNA Double Strand Breaks R-HSA-5693565,Reactome,3,55,3.28,1.66,1.3,0.09663971509753527,"H2AX, H3-4, NSD2",0.4008614699491224
Autodegradation Of E3 Ubiquitin Ligase COP1 R-HSA-349425,Reactome,3,49,3.68,2.11,1.3,0.09718816415730364,"PSMC2, PSMC5, SEM1",0.4008614699491224
GSK3B And BTRC:CUL1-mediated-degradation Of NFE2L2 R-HSA-9762114,Reactome,3,49,3.68,2.11,1.3,0.09718816415730364,"PSMC2, PSMC5, SEM1",0.4008614699491224
Vpu Mediated Degradation Of CD4 R-HSA-180534,Reactome,3,49,3.68,2.11,1.3,0.09718816415730364,"PSMC2, PSMC5, SEM1",0.4008614699491224
Ubiquitin Mediated Degradation Of Phosphorylated Cdc25A R-HSA-69601,Reactome,3,49,3.68,2.11,1.3,0.09718816415730364,"PSMC2, PSMC5, SEM1",0.4008614699491224
PTEN Regulation R-HSA-6807070,Reactome,6,132,2.73,3.05,1.29,0.09801545918625992,"EED, MOV10, PSMC2, PSMC5, SEM1, SLC38A9",0.4008614699491224
FCERI Mediated NF-kB Activation R-HSA-2871837,Reactome,4,76,3.17,2.42,1.29,0.09815447316259107,"CARD11, PSMC2, PSMC5, SEM1",0.4008614699491224
Cellular Senescence R-HSA-2559583,Reactome,6,158,2.28,1.94,1.29,0.09831999105397626,"EED, H2AX, H3-4, MDM4, MOV10, TFDP1",0.4008614699491224
"mRNA Activation Upon Binding Of Cap-Binding Complex And eIFs, Subsequent Binding To 43S R-HSA-72662",Reactome,3,55,3.28,1.68,1.29,0.09834106847897534,"EIF3J, EIF4A2, EIF4B",0.4008614699491224
Degradation Of Beta-Catenin By Destruction Complex R-HSA-195253,Reactome,4,81,2.97,2.12,1.29,0.09874165631008819,"PPP2CA, PSMC2, PSMC5, SEM1",0.4008614699491224
GnRH secretion,KEGG,3,64,2.82,1.2,1.28,0.09954556335188008,"KCNJ5, PRKCA, TRPC4",0.4008614699491224
Cholinergic synapse,KEGG,5,111,2.71,2.38,1.28,0.10008957079736452,"CHAT, GNB2, GNG12, GNG5, PRKCA",0.4008614699491224
Regulation Of mRNA Stability By Proteins That Bind AU-rich Elements R-HSA-450531,Reactome,4,80,3.01,2.21,1.28,0.1003630855959366,"PRKCA, PSMC2, PSMC5, SEM1",0.4008614699491224
HS-GAG Biosynthesis R-HSA-2022928,Reactome,2,29,4.15,1.34,1.28,0.1004699610657977,"NDST3, NDST4",0.4008614699491224
Regulation Of Apoptosis R-HSA-169911,Reactome,3,50,3.61,2.11,1.27,0.10167506726068404,"PSMC2, PSMC5, SEM1",0.4008614699491224
