pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Regulation Of Beta-Cell Development R-HSA-186712,Reactome,2,41,2.93,1.74,0.76,0.2241569914108532,"GATD3, IAPP",0.423618721056104
Phagosome,KEGG,4,135,1.78,1.4,0.72,0.23635685440448306,"FCGR2B, FCGR2C, HLA-DQB1, MARCO",0.44292082800167837
G2/M Checkpoints R-HSA-69481,Reactome,4,134,1.8,1.95,0.62,0.2684976603032554,"H2BC11, H2BC12, H2BC13, H2BC17",0.4989581520635496
Class C/3 (Metabotropic Glutamate/Pheromone Receptors) R-HSA-420499,Reactome,2,37,3.25,3.48,0.61,0.2708848243482541,"TAS2R20, TAS2R31",0.49923401512116256
Formation Of Cornified Envelope R-HSA-6809371,Reactome,2,42,2.86,2.61,0.6,0.27432206877482207,"CDSN, CELA2A",0.5014247650556174
Viral protein interaction with cytokine and cytokine receptor,KEGG,3,86,2.1,2.45,0.58,0.28167641285342915,"CCL13, CCL4, TNFRSF10A",0.5106816265554041
DNA Double-Strand Break Repair R-HSA-5693532,Reactome,4,134,1.8,2.32,0.57,0.28530878822863104,"H2BC11, H2BC12, H2BC13, H2BC17",0.513095643346651
Chemokine Receptors Bind Chemokines R-HSA-380108,Reactome,2,48,2.51,2.17,0.54,0.29502716128507933,"CCL13, CCL4",0.5263284557325816
Antigen processing and presentation,KEGG,2,55,2.19,1.47,0.51,0.30506793432440504,"HLA-DQB1, HSPA1B",0.5399218202725582
Toxoplasmosis,KEGG,3,103,1.75,1.53,0.49,0.31144139876216836,"HLA-DQB1, HSPA1B, IRGM",0.5468616686926263
Taste transduction,KEGG,3,80,2.26,4.72,0.47,0.3184662914793044,"PKD1L3, TAS2R20, TAS2R31",0.5545348840373986
"Sensory Perception Of Sweet, Bitter, And Umami (Glutamate) Taste R-HSA-9717207",Reactome,2,39,3.08,5.37,0.46,0.3224658923940539,"TAS2R20, TAS2R31",0.5545348840373986
Glutathione metabolism,KEGG,2,54,2.23,1.96,0.46,0.32327145706216065,"GSTA1, GSTA2",0.5545348840373986
Signaling By Nuclear Receptors R-HSA-9006931,Reactome,6,250,1.44,2.6,0.42,0.3388715832218456,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.5718065590849942
