pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Reproduction R-HSA-1474165,Reactome,4,102,2.36,1.89,1.02,0.1543012481522708,"H2BC11, H2BC13, H2BC17, H2BC9",0.39711639059344117
Stimuli-sensing Channels R-HSA-2672351,Reactome,4,89,2.7,2.8,1.0,0.15759901547026,"ANO9, MCOLN2, TRDN, TRPM4",0.39986085090057155
"Sensory Perception Of Sweet, Bitter, And Umami (Glutamate) Taste R-HSA-9717207",Reactome,3,39,4.63,5.37,1.0,0.15817528094231104,"TAS2R20, TAS2R50, TRPM4",0.39986085090057155
Metabolism Of Fat-Soluble Vitamins R-HSA-6806667,Reactome,2,40,3.01,1.07,1.0,0.15898082023757665,"AKR1B10, RBP1",0.39986085090057155
Activation Of HOX Genes During Differentiation R-HSA-5619507,Reactome,4,83,2.9,3.37,0.99,0.16025885947807045,"H2BC11, H2BC13, H2BC17, H2BC9",0.40004467177984504
Nuclear Envelope (NE) Reassembly R-HSA-2995410,Reactome,3,71,2.54,1.61,0.97,0.1663516741016245,"TUBA1A, TUBA1C, TUBA4B",0.41215489404283084
Pentose and glucuronate interconversions,KEGG,2,26,4.63,2.92,0.96,0.1688594731196466,"AKR1B10, UGT2B28",0.41526922278313094
Assembly Of Pre-Replicative Complex R-HSA-68867,Reactome,4,106,2.27,1.96,0.95,0.1719485897512565,"H2BC11, H2BC13, H2BC17, H2BC9",0.41935840004358926
RHO GTPase Effectors R-HSA-195258,Reactome,8,241,2.0,3.54,0.94,0.17304849640352932,"FMNL2, H2BC11, H2BC13, H2BC17, H2BC9, IQGAP2, MYH14, PKN1",0.41935840004358926
Mitotic Prophase R-HSA-68875,Reactome,4,107,2.25,1.95,0.93,0.17495673969097197,"H2BC11, H2BC13, H2BC17, H2BC9",0.42091041722755573
Wnt-beta Catenin Signaling,Hallmark,2,39,3.08,1.43,0.89,0.18558213076907848,"FZD8, NCOR2",0.44326091665707956
