pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Ub-specific Processing Proteases R-HSA-5689880,Reactome,5,157,1.92,2.43,0.76,0.22355921216367486,"PSMA1, PSMA2, PSMA3, PSMB1, PSMB6",0.45888469865175363
Striated Muscle Contraction R-HSA-390522,Reactome,2,30,4.01,3.64,0.75,0.22662326720792192,"MYL1, MYL3",0.4634318497959752
Signaling By FGFR In Disease R-HSA-1226099,Reactome,3,59,3.06,4.32,0.75,0.22800576435761832,"ERLIN2, FGF9, POLR2C",0.4645192064897746
N-Glycan biosynthesis,KEGG,2,50,2.41,1.0,0.74,0.22945062659739662,"DPM3, TUSC3",0.4652543167244146
Thyroid hormone synthesis,KEGG,3,73,2.47,2.56,0.74,0.23045561365573886,"CGA, GPX2, HSPA5",0.4652543167244146
Translocation Of SLC2A4 (GLUT4) To Plasma Membrane R-HSA-1445148,Reactome,2,44,2.73,1.52,0.74,0.2309229300958175,"PRKAB1, PRKAG1",0.4652543167244146
Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226,Reactome,6,156,2.31,6.24,0.73,0.23209873472663523,"C1D, FAU, RPL13A, RPL15, RPS10, RSL24D1",0.4659040777968486
Nervous System Development R-HSA-9675108,Reactome,14,512,1.64,5.8,0.73,0.2332674576057867,"ARPC2, CLTA, FAU, LHX2, PFN1, PSMA1, PSMA2, PSMA3, PSMB1, PSMB6, RPL13A, RPL15, RPS10, RSL24D1",0.4665349152115734
AMPK signaling pathway,KEGG,4,120,2.0,2.22,0.72,0.23466575753918595,"EIF4EBP1, IGF1, PRKAB1, PRKAG1",0.46761862633720996
Signaling By NTRK1 (TRKA) R-HSA-187037,Reactome,4,111,2.17,2.94,0.72,0.23612264249258152,"CLTA, DUSP6, MEF2C, RALB",0.46825439551479475
Gene Expression (Transcription) R-HSA-74160,Reactome,28,1074,1.57,11.21,0.71,0.23791925265309538,"AEBP2, BNIP3L, CAMK2A, CDK2, CNOT2, COX20, GPX2, HDAC3, LAMTOR1, LAMTOR4, LMO2, MED20, MED27, MEF2C, MLST8, NFIA, NFIB, POLR2C, PRKAB1, PRKAG1, PSMA1, PSMA2, PSMA3, PSMB1, PSMB6, PVALB, SAP18, TAF13",0.46825439551479475
IRS-related Events Triggered By IGF1R R-HSA-2428928,Reactome,2,51,2.36,1.01,0.71,0.23809155423181344,"FGF9, IGF1",0.46825439551479475
Mineral absorption,KEGG,2,49,2.45,1.16,0.71,0.238415241672368,"S100G, SLC31A1",0.46825439551479475
Apoptosis R-HSA-109581,Reactome,5,163,1.84,2.45,0.7,0.2405306564135326,"PSMA1, PSMA2, PSMA3, PSMB1, PSMB6",0.4707159082501391
Neuronal System R-HSA-112316,Reactome,11,379,1.75,5.97,0.7,0.24221826440059868,"CAMK2A, GABRA1, GJD2, GNAI1, HOMER1, KCNA2, KCNJ10, LIN7A, NCALD, PRKAB1, PRKAG1",0.4723256155811675
UV Response Up,Hallmark,5,153,1.97,3.29,0.69,0.2465185883821222,"ALDOA, CDK2, CEBPG, LHX2, RAB27A",0.4781119154218569
Pyruvate metabolism,KEGG,2,46,2.61,1.54,0.68,0.24693692334975026,"ACYP1, ACYP2",0.4781119154218569
rRNA Processing In Nucleus And Cytosol R-HSA-8868773,Reactome,6,165,2.19,6.35,0.67,0.251603231321207,"C1D, FAU, RPL13A, RPL15, RPS10, RSL24D1",0.48456255985700164
Transcriptional Activation Of Mitochondrial Biogenesis R-HSA-2151201,Reactome,2,51,2.36,1.15,0.67,0.2520626293983115,"HDAC3, MEF2C",0.48456255985700164
SARS-CoV-2 Modulates Host Translation Machinery R-HSA-9754678,Reactome,2,44,2.73,1.88,0.66,0.25409695870589377,"FAU, RPS10",0.48456255985700164
Necroptosis,KEGG,4,135,1.78,1.65,0.66,0.2543570083810751,"CAMK2A, CHMP1A, CHMP2A, MACROH2A1",0.48456255985700164
rRNA Processing R-HSA-72312,Reactome,6,175,2.06,5.47,0.66,0.25508364341924294,"C1D, FAU, RPL13A, RPL15, RPS10, RSL24D1",0.48456255985700164
Transcriptional misregulation in cancer,KEGG,5,174,1.73,2.13,0.66,0.2559596800214394,"DUSP6, IGF1, LMO2, MEF2C, SIX1",0.48456255985700164
Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517,Reactome,5,154,1.95,3.53,0.65,0.25648091538218587,"ATP5PF, COX20, NDUFA6, NDUFS6, UQCRH",0.48456255985700164
