pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Diseases Of Glycosylation R-HSA-3781865,Reactome,2,126,0.95,2.49,-0.04,0.5168092674493227,"ADAMTS16, GPC6",0.6518331601038294
"Cell Cycle, Mitotic R-HSA-69278",Reactome,8,499,0.96,4.75,-0.05,0.51935952915335,"CDC25A, CHMP4C, H2BC5, NME7, PRKCA, RAB1A, RAB8A, TUBA1B",0.6518331601038294
Estrogen Response Early,Hallmark,3,189,0.95,2.76,-0.05,0.5196153783079193,"ITPK1, RAPGEFL1, RHOD",0.6518331601038294
Signaling By Hedgehog R-HSA-5358351,Reactome,2,128,0.94,3.15,-0.05,0.5200290586017813,"PRKCA, TULP3",0.6518331601038294
IL-2/STAT5 Signaling,Hallmark,3,190,0.95,3.18,-0.05,0.520350919217546,"CDCP1, GALM, HK2",0.6518331601038294
Androgen Response,Hallmark,2,95,1.27,1.52,-0.05,0.5207418465361051,"IQGAP2, LMAN1",0.6518331601038294
Cellular Senescence R-HSA-2559583,Reactome,3,158,1.14,1.94,-0.06,0.5227957910931701,"H1-3, H2BC5, STAT3",0.6518331601038294
Hypoxia,Hallmark,3,191,0.94,2.82,-0.06,0.5237995939353163,"ENO1, HK2, PRKCA",0.6518331601038294
Potassium Channels R-HSA-1296071,Reactome,2,100,1.2,4.02,-0.06,0.5253833781834035,"KCNH2, KCNJ6",0.6518331601038294
Autophagy,KEGG,3,159,1.13,1.86,-0.07,0.5261817386570442,"ITPR1, RAB1A, RAB8A",0.6518331601038294
mTOR signaling pathway,KEGG,2,133,0.9,4.1,-0.07,0.5283504078908323,"ATP6V1G3, PRKCA",0.6518331601038294
Ras signaling pathway,KEGG,4,223,1.08,2.24,-0.07,0.5292365653157305,"FLT1, PRKCA, PTPN11, RASGRF1",0.6518331601038294
Processing Of Capped Intron-Containing Pre-mRNA R-HSA-72203,Reactome,4,228,1.06,4.16,-0.07,0.529705686361113,"GLE1, GPKOW, PPIE, RNPC3",0.6518331601038294
Diseases Of Metabolism R-HSA-5668914,Reactome,4,227,1.06,3.02,-0.08,0.5329029086340012,"ADAMTS16, CYP11A1, GPC6, MTRR",0.6518331601038294
Spinocerebellar ataxia,KEGG,2,132,0.91,2.58,-0.08,0.5330570952321896,"ITPR1, PRKCA",0.6518331601038294
MAPK signaling pathway,KEGG,5,288,1.04,2.44,-0.09,0.5342946758323511,"CACNA2D3, DUSP3, FLT1, PRKCA, RASGRF1",0.6518331601038294
L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827,Reactome,2,103,1.17,3.59,-0.09,0.5345609774172295,"RPL22L1, RPL7A",0.6518331601038294
GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706,Reactome,2,104,1.16,3.29,-0.1,0.5387176567754147,"RPL22L1, RPL7A",0.6518331601038294
Biological Oxidations R-HSA-211859,Reactome,3,198,0.91,2.81,-0.1,0.5388529412033518,"CYP11A1, MTRR, NQO2",0.6518331601038294
DNA Double-Strand Break Repair R-HSA-5693532,Reactome,2,134,0.9,2.32,-0.1,0.5405137958000961,"EYA1, H2BC5",0.6518331601038294
Beta-catenin Independent WNT Signaling R-HSA-3858494,Reactome,2,133,0.9,1.96,-0.1,0.5409649833874312,"ITPR1, PRKCA",0.6518331601038294
M Phase R-HSA-68886,Reactome,6,357,1.01,3.14,-0.1,0.5410908228694924,"CHMP4C, H2BC5, NME7, PRKCA, RAB1A, TUBA1B",0.6518331601038294
Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807,Reactome,2,101,1.19,1.76,-0.11,0.5420525497246623,"IL4, STAT3",0.6518331601038294
RAF/MAP Kinase Cascade R-HSA-5673001,Reactome,4,261,0.92,2.32,-0.11,0.5434133337221652,"BTC, DUSP12, RASGRF1, SPTAN1",0.6518331601038294
Human cytomegalovirus infection,KEGG,3,198,0.91,2.15,-0.11,0.5444299747268201,"ITPR1, PRKCA, STAT3",0.6518331601038294
Fluid shear stress and atherosclerosis,KEGG,2,132,0.91,1.42,-0.11,0.5445044587474466,"MEF2A, NCF2",0.6518331601038294
