pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
SARS-CoV-2 Infection R-HSA-9694516,Reactome,3,231,0.78,3.46,-0.23,0.5926643905448185,"IFNB1, PARP10, ST6GALNAC3",0.7231684124298724
JAK-STAT signaling pathway,KEGG,2,148,0.81,1.6,-0.24,0.5929366213390461,"IFNB1, IFNK",0.7231684124298724
Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005,Reactome,2,118,1.02,1.94,-0.24,0.5947421076929028,"SERPINA4, STX4",0.7231684124298724
Ras signaling pathway,KEGG,3,223,0.81,2.38,-0.24,0.595576174113149,"FGFR4, PAK2, PLA2G10",0.7231684124298724
SARS-CoV Infections R-HSA-9679506,Reactome,4,312,0.77,4.54,-0.25,0.5984605490536916,"IFNB1, IL1R1, PARP10, ST6GALNAC3",0.7231684124298724
Regulation Of Lipid Metabolism By PPARalpha R-HSA-400206,Reactome,2,117,1.03,1.68,-0.25,0.5985486893295835,"ANKRD1, HELZ2",0.7231684124298724
Transport Of Small Molecules R-HSA-382551,Reactome,9,680,0.8,7.69,-0.26,0.6007739478997809,"CLCN4, DERL1, LCAT, NGB, PSMB7, SCNN1A, SLC25A18, SLC28A2, SOAT2",0.7231684124298724
Cilium Assembly R-HSA-5617833,Reactome,2,172,0.7,3.66,-0.27,0.6062182742449235,"AHI1, TRIP11",0.7231684124298724
Myogenesis,Hallmark,2,190,0.63,5.92,-0.27,0.6071792050492645,"GPX3, MYF6",0.7231684124298724
Protein processing in endoplasmic reticulum,KEGG,2,163,0.74,2.57,-0.27,0.607459210739198,"DERL1, UBQLN3",0.7231684124298724
Interferon Signaling R-HSA-913531,Reactome,2,165,0.73,2.67,-0.28,0.6097588786766901,"IFIT3, IFNB1",0.7231684124298724
Apoptosis R-HSA-109581,Reactome,2,163,0.74,2.45,-0.28,0.6101328152292964,"BCL2L11, PSMB7",0.7231684124298724
Cellular Senescence R-HSA-2559583,Reactome,2,158,0.76,1.94,-0.28,0.6109889877757001,"H2BC12, IFNB1",0.7231684124298724
Tuberculosis,KEGG,2,156,0.77,1.55,-0.3,0.6181373471001165,"CTSS, IFNB1",0.7231684124298724
Ub-specific Processing Proteases R-HSA-5689880,Reactome,2,157,0.77,1.62,-0.3,0.6182529006235572,"H2BC12, PSMB7",0.7231684124298724
Signaling By Receptor Tyrosine Kinases R-HSA-9006934,Reactome,6,469,0.77,4.81,-0.3,0.618285031559399,"CD274, CRK, FGFBP1, FGFR4, ITGA3, TIAL1",0.7231684124298724
Deubiquitination R-HSA-5688426,Reactome,3,228,0.79,1.88,-0.3,0.6183283827329958,"H2BC12, PSMB7, UCHL1",0.7231684124298724
PI3K-Akt signaling pathway,KEGG,4,318,0.76,3.42,-0.31,0.6211670028500396,"BCL2L11, FGFR4, IFNB1, ITGA3",0.7231684124298724
