pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Meiosis R-HSA-1500620,Reactome,2,80,1.5,1.82,0.11,0.4560813208077449,"H2BC3, H2BC4",0.8185841467238447
Staphylococcus aureus infection,KEGG,2,81,1.48,4.35,0.06,0.4744855028420523,"FCGR3B, KRT37",0.8185841467238447
Activation Of HOX Genes During Differentiation R-HSA-5619507,Reactome,2,83,1.45,3.37,0.06,0.4775992491164134,"H2BC3, H2BC4",0.8185841467238447
Fc gamma R-mediated phagocytosis,KEGG,2,86,1.4,1.29,0.05,0.479245041493561,"FCGR3B, PLA2G4C",0.8185841467238447
Hepatocellular carcinoma,KEGG,3,145,1.24,2.88,0.03,0.4863584259971311,"GSTM1, GSTM2, GSTM5",0.8185841467238447
Sphingolipid Metabolism R-HSA-428157,Reactome,2,87,1.38,1.94,0.03,0.48715385422366786,"ARSF, ARSH",0.8185841467238447
Telomere Maintenance R-HSA-157579,Reactome,2,86,1.4,3.66,0.03,0.48764982944375623,"H2BC3, H2BC4",0.8185841467238447
Metabolism Of Steroids R-HSA-8957322,Reactome,3,147,1.23,2.52,0.02,0.49092958992053015,"AKR1C4, CYP11B1, CYP11B2",0.8185841467238447
Oxidative Stress Induced Senescence R-HSA-2559580,Reactome,2,88,1.37,2.09,0.02,0.49153142906938035,"H2BC3, H2BC4",0.8185841467238447
Morphine addiction,KEGG,2,89,1.35,3.01,0.01,0.4961546942479244,"GRK4, PDE4C",0.8185841467238447
Influenza A,KEGG,3,150,1.2,2.62,0.0,0.4990796405081045,"ADAR, TPSAB1, TPSB2",0.8185841467238447
RUNX1 Regulates Transcription Of Genes Involved In Differentiation Of HSCs R-HSA-8939236,Reactome,2,92,1.31,1.49,-0.02,0.5079516289285435,"H2BC3, H2BC4",0.8185841467238447
DNA Replication Pre-Initiation R-HSA-69002,Reactome,2,123,0.98,2.28,-0.02,0.5084676724882891,"H2BC3, H2BC4",0.8185841467238447
Herpes simplex virus 1 infection,KEGG,3,154,1.17,1.35,-0.03,0.5132199759126743,"BIRC2, CGAS, RBAK",0.8185841467238447
Cellular Response To Heat Stress R-HSA-3371556,Reactome,2,94,1.28,1.83,-0.04,0.5150494573657914,"POM121, RLN1",0.8185841467238447
GPCR Downstream Signaling R-HSA-388396,Reactome,10,590,1.02,6.29,-0.04,0.5162154642237591,"PDE4C, PPBP, TAS2R10, TAS2R20, TAS2R30, TAS2R31, TAS2R46, TAS2R5, TAS2R50, TAS2R9",0.8185841467238447
Purine metabolism,KEGG,2,126,0.95,1.73,-0.05,0.5201682319156056,"NUDT16, PDE4C",0.8185841467238447
Apoptosis,KEGG,3,161,1.12,4.47,-0.05,0.520697046355311,"BECN2, BIRC2, TUBA3D",0.8185841467238447
Chromatin Modifying Enzymes R-HSA-3247509,Reactome,4,223,1.08,4.46,-0.05,0.5207114732973366,"H2AC11, H2BC18, H2BC3, H2BC4",0.8185841467238447
Signaling By GPCR R-HSA-372790,Reactome,10,638,0.94,7.4,-0.07,0.5282210129916612,"PDE4C, PPBP, TAS2R10, TAS2R20, TAS2R30, TAS2R31, TAS2R46, TAS2R5, TAS2R50, TAS2R9",0.8185841467238447
Keratinization R-HSA-6805567,Reactome,2,107,1.12,8.25,-0.07,0.52939186768577,"KRT37, KRTAP25-1",0.8185841467238447
Cell adhesion molecules,KEGG,2,134,0.9,3.36,-0.08,0.5336580548315591,"CD99L2, PVR",0.8185841467238447
DNA Double-Strand Break Repair R-HSA-5693532,Reactome,2,134,0.9,2.32,-0.1,0.5405137958000961,"H2BC3, H2BC4",0.8185841467238447
G2/M Checkpoints R-HSA-69481,Reactome,2,134,0.9,1.68,-0.12,0.547584714315971,"H2BC3, H2BC4",0.8185841467238447
HDR Thru Homologous Recombination (HRR) Or Single Strand Annealing (SSA) R-HSA-5693567,Reactome,2,104,1.16,2.05,-0.12,0.5490419337090638,"H2BC3, H2BC4",0.8185841467238447
Shigellosis,KEGG,4,233,1.03,2.39,-0.12,0.5497134740407191,"BECN2, CGAS, H3C4, MYL5",0.8185841467238447
Chromosome Maintenance R-HSA-73886,Reactome,2,110,1.09,3.82,-0.13,0.550128167979112,"H2BC3, H2BC4",0.8185841467238447
Salmonella infection,KEGG,4,235,1.02,2.75,-0.13,0.5502928079200758,"BIRC2, CASP5, MYL5, TUBA3D",0.8185841467238447
Phagosome,KEGG,2,135,0.89,1.4,-0.14,0.5556773332024743,"FCGR3B, TUBA3D",0.8185841467238447
Fatty Acid Metabolism R-HSA-8978868,Reactome,3,168,1.07,1.57,-0.14,0.5565765011298867,"ACOT2, ACSBG2, PRXL2B",0.8185841467238447
Assembly Of Pre-Replicative Complex R-HSA-68867,Reactome,2,106,1.13,1.96,-0.14,0.5568664540371533,"H2BC3, H2BC4",0.8185841467238447
Leukocyte transendothelial migration,KEGG,2,107,1.12,2.13,-0.15,0.5576646292871121,"CD99L2, MYL5",0.8185841467238447
Homology Directed Repair R-HSA-5693538,Reactome,2,108,1.11,2.2,-0.15,0.5599152349561431,"H2BC3, H2BC4",0.8185841467238447
Cell Surface Interactions At Vascular Wall R-HSA-202733,Reactome,2,112,1.07,2.76,-0.16,0.5642952495925153,"CD99L2, IGLL5",0.8185841467238447
Bile Acid Metabolism,Hallmark,2,112,1.07,2.37,-0.17,0.5692260195277723,"HSD17B6, RBP1",0.8185841467238447
DNA Replication R-HSA-69306,Reactome,2,151,0.8,3.39,-0.18,0.5704161022419552,"H2BC3, H2BC4",0.8185841467238447
Estrogen-dependent Gene Expression R-HSA-9018519,Reactome,2,114,1.06,2.38,-0.19,0.5748315537791758,"H2BC3, H2BC4",0.8195985379690184
Platelet Degranulation R-HSA-114608,Reactome,2,113,1.06,1.76,-0.21,0.5836258089094983,"A1BG, PPBP",0.8268032292884561
Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005,Reactome,2,118,1.02,1.94,-0.24,0.5947421076929028,"A1BG, PPBP",0.8329037256191962
NOD-like receptor signaling pathway,KEGG,2,147,0.82,1.4,-0.24,0.5961342787015526,"BIRC2, CASP5",0.8329037256191962
