pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Cellular Senescence R-HSA-2559583,Reactome,7,158,2.66,2.51,1.53,0.06311582552417502,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",0.16767133447331345
HDR Thru Homologous Recombination (HRR) Or Single Strand Annealing (SSA) R-HSA-5693567,Reactome,5,104,2.89,2.05,1.49,0.06822111065545343,"H2BC1, H2BC11, H2BC15, H2BC17, H2BC3",0.1794215210238425
Allograft Rejection,Hallmark,8,194,2.48,2.92,1.41,0.07883219471517805,"CCL13, CCL4, CCL7, CD1D, CD47, GBP2, HLA-DQA1, SIT1",0.20413032730136152
Metabolism Of Porphyrins R-HSA-189445,Reactome,2,28,4.3,1.18,1.41,0.07963077677112351,"ABCG2, GSTA1",0.20413032730136152
Chromosome Maintenance R-HSA-73886,Reactome,6,110,3.28,3.82,1.41,0.07994457685186401,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3",0.20413032730136152
DNA Replication R-HSA-69306,Reactome,7,151,2.79,3.39,1.39,0.0829222595443036,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",0.2096976371168447
Homology Directed Repair R-HSA-5693538,Reactome,5,108,2.78,2.2,1.38,0.08407948964008188,"H2BC1, H2BC11, H2BC15, H2BC17, H2BC3",0.21059910262230033
Sensory Perception Of Taste R-HSA-9717189,Reactome,4,45,5.35,5.88,1.32,0.092699951515051,"TAS2R10, TAS2R20, TAS2R31, TAS2R5",0.23000082309866426
ESR-mediated Signaling R-HSA-8939211,Reactome,7,179,2.35,2.51,1.31,0.09543185525265357,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",0.233080464032185
Chemokine Receptors Bind Chemokines R-HSA-380108,Reactome,3,48,3.76,2.17,1.31,0.09571365062918624,"CCL13, CCL4, CCL7",0.233080464032185
Generation Of Second Messenger Molecules R-HSA-202433,Reactome,2,25,4.81,1.7,1.3,0.09664356807306346,"HLA-DQA1, TARP",0.2331858569102357
Activation Of Matrix Metalloproteinases R-HSA-1592389,Reactome,2,33,3.64,1.07,1.26,0.10458553847536611,"CTRB2, CTSV",0.25005451471837536
Antimicrobial Peptides R-HSA-6803157,Reactome,5,76,3.96,5.48,1.24,0.106902098416775,"DEFB109B, DEFB116, GNLY, PRTN3, RNASE6",0.25329055751001645
Prefoldin Mediated Transfer Of Substrate To CCT/TriC R-HSA-389957,Reactome,2,26,4.63,1.82,1.22,0.11202204495525525,"TUBA3C, TUBA3D",0.26305176627885835
Butanoate metabolism,KEGG,2,28,4.3,1.62,1.2,0.11466171249059626,"ACSM6, OXCT2",0.2668675255312108
TCF Dependent Signaling In Response To WNT R-HSA-201681,Reactome,7,177,2.38,3.21,1.17,0.12015905233601237,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",0.2772090417927303
Signaling By NOTCH R-HSA-157118,Reactome,7,195,2.16,2.51,1.16,0.1231834602220826,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",0.2817152177252846
G2/M Checkpoints R-HSA-69481,Reactome,5,134,2.24,1.79,1.15,0.12437651390392401,"H2BC1, H2BC11, H2BC15, H2BC17, H2BC3",0.281991578937345
Phase II - Conjugation Of Compounds R-HSA-156580,Reactome,4,97,2.48,1.72,1.15,0.12572322737494446,"GLYAT, GSTA1, GSTA2, SULT1E1",0.2826086222188922
Paracetamol ADME R-HSA-9753281,Reactome,2,25,4.81,2.52,1.07,0.14247042331108245,"ABCG2, SULT1E1",0.31754001127809056
Metabolism Of Steroid Hormones R-HSA-196071,Reactome,2,35,3.44,1.32,1.06,0.14478729147770847,"AKR1B15, HSD3B1",0.3188301952477516
