pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Signaling By WNT R-HSA-195721,Reactome,2,255,0.47,3.37,-0.6,0.726531835131318,"H2BC13, SOX13",0.8539743674562362
Vesicle-mediated Transport R-HSA-5653656,Reactome,5,582,0.52,6.55,-0.6,0.7272174042174481,"AKR1B10, COL4A2, HBA1, IGLL5, TARP",0.8539743674562362
Pathways in cancer,KEGG,5,478,0.63,3.13,-0.61,0.7276210171693442,"COL4A2, GSTA1, GSTA2, GSTT2, RALGDS",0.8539743674562362
Developmental Biology R-HSA-1266738,Reactome,8,919,0.52,8.11,-0.68,0.7518937135320385,"COL4A2, GATD3, H2BC13, KDM6A, KRT37, KRT85, LIPJ, PTPRC",0.8686966528567228
Deubiquitination R-HSA-5688426,Reactome,2,228,0.53,1.8,-0.7,0.7569340422921158,"H2BC13, USP18",0.8686966528567228
RAF/MAP Kinase Cascade R-HSA-5673001,Reactome,2,261,0.46,2.32,-0.75,0.7735737449813569,"RALGDS, RNASE3",0.8686966528567228
Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202,Reactome,2,403,0.3,5.95,-0.76,0.7765896128907304,"GATD3, RNASE3",0.8686966528567228
MAPK1/MAPK3 Signaling R-HSA-5684996,Reactome,2,267,0.45,2.32,-0.77,0.7804768367987758,"RALGDS, RNASE3",0.8686966528567228
MAPK Family Signaling Cascades R-HSA-5683057,Reactome,2,305,0.39,3.05,-0.8,0.7869344566059011,"RALGDS, RNASE3",0.8686966528567228
Metabolism R-HSA-1430728,Reactome,21,1967,0.64,7.66,-0.8,0.7881195351395902,"AADAC, ACOT2, ACOT4, ACOT6, ACSM6, AKR1B10, CPNE7, CYP3A43, GSTA1, GSTA2, GSTT2, INMT, OLAH, OXCT2, PLA2G4C, PLAAT2, RBP1, SLC3A2, UGT2A3, UGT3A1, UGT3A2",0.8686966528567228
Transport Of Small Molecules R-HSA-382551,Reactome,4,680,0.35,7.69,-0.81,0.7906817493306104,"HBA1, MCOLN2, RNASE3, SLC3A2",0.8686966528567228
RHO GTPase Cycle R-HSA-9012999,Reactome,2,404,0.3,4.69,-0.86,0.8048004388390373,"ARHGAP27, FMNL2",0.8686966528567228
"Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542",Reactome,3,603,0.3,6.37,-0.91,0.8172734214415537,"ARHGAP27, FMNL2, H2BC13",0.8686966528567228
Metabolism Of Amino Acids And Derivatives R-HSA-71291,Reactome,2,354,0.34,3.22,-0.91,0.8190070520371253,"INMT, SLC3A2",0.8686966528567228
Cellular Responses To Stimuli R-HSA-8953897,Reactome,3,693,0.26,8.08,-0.91,0.8191643075441348,"GSTA1, H2BC13, HBA1",0.8686966528567228
Cellular Responses To Stress R-HSA-2262752,Reactome,3,689,0.26,7.98,-0.91,0.8193669993357163,"GSTA1, H2BC13, HBA1",0.8686966528567228
Membrane Trafficking R-HSA-199991,Reactome,2,546,0.22,6.95,-0.92,0.8199642802596432,"AKR1B10, TARP",0.8686966528567228
Signaling By Rho GTPases R-HSA-194315,Reactome,3,588,0.31,5.89,-0.92,0.8209256439863681,"ARHGAP27, FMNL2, H2BC13",0.8686966528567228
M Phase R-HSA-68886,Reactome,2,357,0.34,3.14,-0.93,0.8241241339946033,"H2BC13, TUBA4B",0.8686966528567228
Infectious Disease R-HSA-5663205,Reactome,5,854,0.35,7.41,-0.93,0.8241901536699565,"ELOA2, H2BC13, IGLL5, TAAR6, TARP",0.8686966528567228
Axon Guidance R-HSA-422475,Reactome,2,491,0.24,5.51,-0.94,0.8270631248500541,"COL4A2, PTPRC",0.8686966528567228
Nervous System Development R-HSA-9675108,Reactome,2,512,0.23,5.8,-0.95,0.8292207603177018,"COL4A2, PTPRC",0.8686966528567228
Signaling By Receptor Tyrosine Kinases R-HSA-9006934,Reactome,2,469,0.26,4.81,-0.97,0.8340745693281739,"COL4A2, RALGDS",0.8686966528567228
Generic Transcription Pathway R-HSA-212436,Reactome,3,824,0.22,8.68,-1.02,0.8455665357095126,"ELOA2, GATD3, H2BC13",0.8686966528567228
Gene Expression (Transcription) R-HSA-74160,Reactome,4,1074,0.22,11.21,-1.02,0.847280253915874,"ELOA2, GATD3, H2BC13, MOV10L1",0.8686966528567228
"Cell Cycle, Mitotic R-HSA-69278",Reactome,2,499,0.24,4.75,-1.03,0.848087937488939,"H2BC13, TUBA4B",0.8686966528567228
RNA Polymerase II Transcription R-HSA-73857,Reactome,3,941,0.19,10.27,-1.04,0.8506323338328153,"ELOA2, GATD3, H2BC13",0.8686966528567228
Cell Cycle R-HSA-1640170,Reactome,2,613,0.2,6.45,-1.04,0.8509681497371979,"H2BC13, TUBA4B",0.8686966528567228
Signal Transduction R-HSA-162582,Reactome,16,2304,0.42,13.64,-1.07,0.8575682335639783,"ARHGAP27, CCL4, COL4A2, CX3CL1, FMNL2, FPR1, GATD3, H2BC13, HCAR3, MTNR1B, RALGDS, RNASE3, SOX13, TAAR6, TAS2R13, TAS2R31",0.8708983097333665
Disease R-HSA-1643685,Reactome,10,1593,0.38,9.22,-1.13,0.8698100169128706,"ELOA2, GATD3, H2BC13, IGLL5, RBP1, RNASE3, SLC3A2, SLPI, TAAR6, TARP",0.878777130489292
Post-translational Protein Modification R-HSA-597592,Reactome,5,1261,0.24,7.69,-1.32,0.9073576098808795,"DCAF5, H2BC13, RAB44, SLPI, USP18",0.9120107258289866
Metabolism Of Proteins R-HSA-392499,Reactome,6,1745,0.21,10.0,-1.45,0.9263904684057961,"DCAF5, H2BC13, RAB44, SLPI, TUBA4B, USP18",0.9263904684057961
