pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Signaling By WNT In Cancer R-HSA-4791275,Reactome,2,32,3.76,1.72,1.02,0.1537165817426877,"CSNK1A1, PPP2CB",0.25723292845679496
Gap-filling DNA Repair Synthesis And Ligation In TC-NER R-HSA-6782210,Reactome,3,55,3.28,2.7,1.02,0.15418930697130068,"GTF2H5, POLE3, UBA52",0.25744416871837394
DNA Double-Strand Break Repair R-HSA-5693532,Reactome,5,134,2.24,2.32,1.01,0.1555167539696512,"CDK2, H2AX, MAPK8, POLE3, UBA52",0.25907835919159383
RUNX1 Interacts With Co-Factors Whose Precise Effect On RUNX1 Targets Is Not Known R-HSA-8939243,Reactome,2,33,3.64,1.65,1.01,0.15641259567603,"CSNK2A2, RNF2",0.2599878268172042
Kaposi sarcoma-associated herpesvirus infection,KEGG,6,166,2.17,2.79,1.0,0.15821719594276884,"AKT3, GNG11, GNG12, MAPK14, MAPK8, UBA52",0.26240039416401173
Oocyte meiosis,KEGG,4,113,2.13,1.44,1.0,0.15956705303746693,"CDK2, MAPK14, PPP2CB, PRKACA",0.26404971137380384
Activation Of HOX Genes During Differentiation R-HSA-5619507,Reactome,4,83,2.9,3.37,0.99,0.16025885947807045,"H2AX, HDAC3, PBX1, RBBP7",0.26424412175845347
RND1 GTPase Cycle R-HSA-9696273,Reactome,2,35,3.44,1.5,0.99,0.16073213826653543,"CAV1, TXNL1",0.26424412175845347
Toxoplasmosis,KEGG,4,103,2.34,1.94,0.99,0.16075147111012245,"AKT3, GNAI1, MAPK14, MAPK8",0.26424412175845347
Glucagon-type Ligand Receptors R-HSA-420092,Reactome,2,30,4.01,2.11,0.98,0.1623168673115653,"GNG11, GNG12",0.2662283276213974
Morphine addiction,KEGG,4,89,2.7,3.01,0.97,0.16657375674764852,"GNAI1, GNG11, GNG12, PRKACA",0.27260859309141594
Processing Of DNA Double-Strand Break Ends R-HSA-5693607,Reactome,3,73,2.47,1.52,0.96,0.16934107915337432,"CDK2, H2AX, UBA52",0.27652839958452113
ISG15 Antiviral Mechanism R-HSA-1169408,Reactome,3,72,2.51,1.59,0.95,0.16987385398158183,"EIF4E, UBA52, UBE2E1",0.2767900734831476
HDR Thru Homologous Recombination (HRR) Or Single Strand Annealing (SSA) R-HSA-5693567,Reactome,4,104,2.31,2.05,0.95,0.1706244241122874,"CDK2, H2AX, POLE3, UBA52",0.2769515804747856
Signaling By FGFR3 R-HSA-5654741,Reactome,2,37,3.25,1.43,0.95,0.17071847087140213,"PPP2CB, UBA52",0.2769515804747856
Post-translational Protein Modification R-HSA-597592,Reactome,33,1261,1.57,7.95,0.94,0.17341248019479633,"ACTR1A, BET1, CNIH3, COPS5, DCUN1D1, DCUN1D5, DPH3, LYPD1, NRN1, PSMB2, PSMB3, PSMD11, RAB10, RAB11A, RAB13, RAB21, RAB22A, RAB5B, RAB5C, RAB8A, RBBP7, RNF185, RNF2, RPS2, SAR1B, SEC22B, SMAD1, SNX3, TRAPPC1, TRAPPC2L, TUBB4A, UBA52, UBE2E1",0.2807090910342781
Mitotic Prophase R-HSA-68875,Reactome,4,107,2.25,1.95,0.93,0.17495673969097197,"ARPP19, BANF1, H2AX, PPP2CB",0.2825931686747656
Diabetic cardiomyopathy,KEGG,6,177,2.04,2.64,0.93,0.17607078388965552,"AKT3, COX7A2L, COX8A, COX8C, MAPK14, MAPK8",0.28377568856836016
Signaling By Hedgehog R-HSA-5358351,Reactome,5,128,2.35,3.15,0.93,0.17671561943549408,"CSNK1A1, PSMB2, PSMB3, PSMD11, UBA52",0.2841227433937185
Hepatitis C,KEGG,5,137,2.19,2.6,0.93,0.17743653632250855,"AKT3, CDK2, PPP2CB, PPP2R2A, PPP2R2B",0.2841227433937185
Negative Regulation Of MAPK Pathway R-HSA-5675221,Reactome,2,38,3.17,1.43,0.92,0.17818857361019758,"PPP2CB, UBA52",0.2841227433937185
Signaling By FGFR4 R-HSA-5654743,Reactome,2,38,3.17,1.43,0.92,0.17818857361019758,"PPP2CB, UBA52",0.2841227433937185
Oxidative Phosphorylation,Hallmark,7,191,2.2,4.23,0.92,0.17854765254868082,"ATP5ME, ATP6V1G1, COX7A2L, COX8A, ISCA1, TIMM8B, TOMM22",0.2841227433937185
RND3 GTPase Cycle R-HSA-9696264,Reactome,2,35,3.44,1.74,0.92,0.17858051300789574,"CAV1, TXNL1",0.2841227433937185
TCR Signaling R-HSA-202403,Reactome,4,107,2.25,2.02,0.92,0.17916767465971956,"PSMB2, PSMB3, PSMD11, UBA52",0.2844478253678881
Neddylation R-HSA-8951664,Reactome,8,226,2.13,4.7,0.9,0.1828482427245537,"COPS5, DCUN1D1, DCUN1D5, PSMB2, PSMB3, PSMD11, RBBP7, UBA52",0.28940371757636885
Integration Of Energy Metabolism R-HSA-163685,Reactome,4,101,2.38,2.48,0.9,0.18313380565766962,"GNAI1, GNG11, GNG12, PPP2CB",0.28940371757636885
Nucleotide Excision Repair R-HSA-5696398,Reactome,4,94,2.56,3.03,0.9,0.18383365924207967,"COPS5, GTF2H5, POLE3, UBA52",0.28940371757636885
RND2 GTPase Cycle R-HSA-9696270,Reactome,2,37,3.25,1.6,0.9,0.1838473145303447,"CAV1, TXNL1",0.28940371757636885
TAK1-dependent IKK And NF-kappa-B Activation R-HSA-445989,Reactome,2,42,2.86,1.17,0.89,0.18573103037856703,"NKIRAS1, UBA52",0.29175085744455664
Dual Incision In TC-NER R-HSA-6782135,Reactome,3,56,3.22,3.42,0.89,0.18720977752758955,"GTF2H5, POLE3, UBA52",0.2934533010611794
Epithelial cell signaling in Helicobacter pylori infection,KEGG,3,66,2.73,2.34,0.88,0.18843383642047024,"ATP6V1G1, MAPK14, MAPK8",0.29475019044296713
HCMV Infection R-HSA-9609646,Reactome,4,108,2.23,2.16,0.88,0.1906325837982229,"CHMP2B, CHMP4B, HDAC3, RBBP7",0.29756304571865466
Homology Directed Repair R-HSA-5693538,Reactome,4,108,2.23,2.2,0.87,0.19255735000496083,"CDK2, H2AX, POLE3, UBA52",0.2999373397351906
EPH-ephrin Mediated Repulsion Of Cells R-HSA-3928665,Reactome,2,46,2.61,1.0,0.85,0.19797099924239497,"APH1A, PSENEN",0.30772479589351354
Basal transcription factors,KEGG,2,43,2.8,1.23,0.85,0.1986666759746304,"GTF2A2, GTF2H5",0.308007004651429
Inwardly Rectifying K+ Channels R-HSA-1296065,Reactome,2,34,3.54,2.2,0.85,0.19898164499688548,"GNG11, GNG12",0.308007004651429
Platelet activation,KEGG,4,117,2.06,1.8,0.84,0.2003691879067771,"AKT3, GNAI1, MAPK14, PRKACA",0.30950999296202786
Circadian Clock R-HSA-400253,Reactome,3,66,2.73,2.63,0.83,0.20210878905204765,"HDAC3, MEF2C, UBA52",0.31154944038521043
Energy Dependent Regulation Of mTOR By LKB1-AMPK R-HSA-380972,Reactome,2,29,4.15,3.17,0.83,0.20298125480816803,"CAB39, MLST8",0.3122465265475545
Cilium Assembly R-HSA-5617833,Reactome,6,172,2.1,3.66,0.83,0.20405138284533758,"ACTR1A, PDE6D, RAB11A, RAB8A, SEPTIN2, TUBB4A",0.3132441682935658
Glucagon-like Peptide-1 (GLP1) Regulates Insulin Secretion R-HSA-381676,Reactome,2,39,3.08,1.68,0.82,0.20501676975611288,"GNG11, GNG12",0.3140772369665812
Serotonergic synapse,KEGG,4,109,2.21,2.4,0.82,0.2063490312613489,"GNAI1, GNG11, GNG12, PRKACA",0.31546775766909924
Human papillomavirus infection,KEGG,8,280,1.72,2.7,0.82,0.20689556131940862,"AKT3, ATP6V1G1, CDK2, CSNK1A1, PPP2CB, PPP2R2A, PPP2R2B, PRKACA",0.31565380299860496
EPH-Ephrin Signaling R-HSA-2682334,Reactome,3,84,2.15,1.36,0.81,0.2090431594149728,"APH1A, ARPC5, PSENEN",0.31821637477485143
Prolactin signaling pathway,KEGG,3,70,2.58,2.4,0.81,0.20964860572980232,"AKT3, MAPK14, MAPK8",0.31821637477485143
N-glycan Trimming In ER And Calnexin/Calreticulin Cycle R-HSA-532668,Reactome,2,32,3.76,2.76,0.81,0.2098600587344242,"RNF185, UBA52",0.31821637477485143
Heme Signaling R-HSA-9707616,Reactome,2,43,2.8,1.37,0.8,0.21139558864777525,"HDAC3, MEF2C",0.3198918989109919
Measles,KEGG,4,122,1.97,1.71,0.8,0.21202465978851182,"AKT3, CDK2, CSNK2A2, MAPK8",0.32019171183509004
Epigenetic Regulation Of Gene Expression R-HSA-212165,Reactome,4,112,2.15,2.33,0.8,0.21293034380869225,"CBX3, GTF2H5, H2AX, RBBP7",0.32090719158186276
Myogenesis,Hallmark,7,190,2.22,5.92,0.78,0.21659611774982812,"CAV3, CSRP3, HSPB2, MEF2C, MYL1, TNNC2, TPM2",0.3254440156292353
Pancreatic cancer,KEGG,3,74,2.44,2.18,0.78,0.21681667259282839,"AKT3, MAPK8, RAC3",0.3254440156292353
