pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Steroid hormone biosynthesis,KEGG,4,47,5.12,4.52,1.46,0.07197100403041987,"CYP11B1, CYP11B2, UGT1A3, UGT2B10",0.26264743029283094
Sealing Of Nuclear Envelope (NE) By ESCRT-III R-HSA-9668328,Reactome,2,29,4.15,1.05,1.45,0.07421161929934597,"TUBA4B, TUBB2A",0.26735211568097716
Attenuation Phase R-HSA-3371568,Reactome,2,25,4.81,1.43,1.42,0.0775917019000064,"GML, HSPA1B",0.2743783586740869
Chromosome Maintenance R-HSA-73886,Reactome,6,110,3.28,3.82,1.41,0.07994457685186401,"DNA2, H2AC7, H2BC13, H2BC15, H2BC4, H2BC5",0.2743783586740869
Malaria,KEGG,3,44,4.1,2.21,1.4,0.08029547267279491,"HBA2, HBB, ITGB2",0.2743783586740869
Progesterone-mediated oocyte maturation,KEGG,5,90,3.34,3.14,1.4,0.08059875901300584,"RPS6KA2, SPDYE11, SPDYE15, SPDYE17, SPDYE4",0.2743783586740869
Assembly Of Pre-Replicative Complex R-HSA-68867,Reactome,5,106,2.84,2.25,1.39,0.08213775613835395,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5",0.2743783586740869
Drug metabolism,KEGG,8,127,3.79,7.42,1.38,0.08406335216008703,"CES1, DUT, GSTA1, GSTA2, GSTM4, NAT2, UGT1A3, UGT2B10",0.2743783586740869
Homology Directed Repair R-HSA-5693538,Reactome,5,108,2.78,2.2,1.38,0.08407948964008188,"DNA2, H2BC13, H2BC15, H2BC4, H2BC5",0.2743783586740869
Mitotic Prophase R-HSA-68875,Reactome,5,107,2.81,2.25,1.38,0.08441735337108858,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5",0.2743783586740869
HSF1 Activation R-HSA-3371511,Reactome,2,26,4.63,1.43,1.37,0.08494988329055359,"GML, HSPA1B",0.2743783586740869
Signaling By NOTCH R-HSA-157118,Reactome,7,195,2.16,1.84,1.36,0.08767316360529442,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5, TBL1X, TLE2",0.2799563519669061
Antigen processing and presentation,KEGG,3,55,3.28,1.57,1.33,0.09100305606939568,"HLA-DQA2, HLA-DQB1, HSPA1B",0.2873242556797774
Gene Silencing By RNA R-HSA-211000,Reactome,5,103,2.92,2.66,1.32,0.0930349289950973,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5",0.289645878763634
Staphylococcus aureus infection,KEGG,5,81,3.71,4.35,1.32,0.09379991091633699,"FCGR2C, HLA-DQA2, HLA-DQB1, ITGB2, KRT38",0.289645878763634
