pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Cilium Assembly R-HSA-5617833,Reactome,2,172,0.7,3.66,-0.27,0.6062182742449235,"CDK5RAP2, NPHP1",0.7663025209242861
Interferon Signaling R-HSA-913531,Reactome,2,165,0.73,2.67,-0.28,0.6097588786766901,"TRIM22, TRIM68",0.7663025209242861
Axon guidance,KEGG,2,178,0.68,4.1,-0.28,0.6100142231745896,"MYL9, NCK2",0.7663025209242861
SUMOylation R-HSA-2990846,Reactome,2,162,0.74,2.31,-0.28,0.6111013891046078,"HNRNPK, MDC1",0.7663025209242861
"Platelet Activation, Signaling And Aggregation R-HSA-76002",Reactome,3,236,0.76,2.73,-0.29,0.6129149347354154,"GNAQ, KNG1, TGFB3",0.7663025209242861
Epithelial Mesenchymal Transition,Hallmark,2,184,0.65,4.51,-0.29,0.6139221745290439,"IL32, MYL9",0.7663025209242861
Shigellosis,KEGG,3,233,0.77,2.39,-0.29,0.6147937180382593,"BECN2, MYL9, U2AF1",0.7663025209242861
Viral carcinogenesis,KEGG,2,177,0.68,3.51,-0.3,0.6169964089243875,"H2BC7, HNRNPK",0.7663025209242861
Myc Targets V1,Hallmark,2,191,0.63,4.85,-0.3,0.6194304588774739,"CNBP, U2AF1",0.7663025209242861
Neurotransmitter Receptors And Postsynaptic Signal Transmission R-HSA-112314,Reactome,2,178,0.68,3.4,-0.31,0.620493094448857,"GABRR3, HTR3E",0.7663025209242861
RHO GTPase Cycle R-HSA-9012999,Reactome,5,404,0.74,4.69,-0.31,0.622751705425065,"ARHGAP8, CCDC187, IL32, NCK2, NOX1",0.7663025209242861
Amyotrophic lateral sclerosis,KEGG,4,318,0.76,3.17,-0.32,0.6256581758270748,"BECN2, HAP1, MAP3K5, NXT2",0.7663025209242861
Tuberculosis,KEGG,2,156,0.77,1.12,-0.35,0.6381150940038913,"ITGAM, TGFB3",0.7663025209242861
