pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Epigenetic Regulation Of Gene Expression R-HSA-212165,Reactome,5,112,2.68,2.33,1.28,0.09982862574208162,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.27344362703265834
HATs Acetylate Histones R-HSA-3214847,Reactome,5,97,3.1,3.36,1.25,0.10494672716795123,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.2820578907149679
Transcriptional Regulation By RUNX1 R-HSA-8878171,Reactome,7,191,2.2,2.28,1.25,0.10521207034605945,"CTSL, CTSV, H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.2820578907149679
Estrogen-dependent Gene Expression R-HSA-9018519,Reactome,5,114,2.64,2.38,1.24,0.10706312344984104,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.28399902220378886
Reactive Oxygen Species Pathway,Hallmark,3,49,3.68,2.63,1.16,0.12235990110577072,"LAMTOR5, SOD2, TXNRD2",0.3211947404026481
G2/M Checkpoints R-HSA-69481,Reactome,5,134,2.24,1.79,1.15,0.12486790885978766,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.32439910342955147
Autoimmune thyroid disease,KEGG,2,29,4.15,1.69,1.14,0.12723233409789309,"HLA-DPA1, HLA-DPB1",0.32452982778026934
Allograft rejection,KEGG,2,27,4.45,1.95,1.13,0.12871675926731935,"HLA-DPA1, HLA-DPB1",0.32452982778026934
Costimulation By CD28 Family R-HSA-388841,Reactome,3,62,2.91,1.67,1.13,0.12878167769058307,"HLA-DPA1, HLA-DQB2, TARP",0.32452982778026934
Complement Cascade R-HSA-166658,Reactome,3,47,3.84,3.07,1.12,0.13116134952418862,"C8A, FCN3, GZMM",0.3258249679586357
NOD-like receptor signaling pathway,KEGG,5,147,2.05,1.42,1.12,0.13188153464992397,"CARD18, GBP2, IFNB1, PYDC1, PYDC5",0.3258249679586357
Phase II - Conjugation Of Compounds R-HSA-156580,Reactome,4,97,2.48,1.91,1.09,0.13845388979008816,"GLYATL1, UGT1A10, UGT3A1, UGT3A2",0.3387415556029341
Biological Oxidations R-HSA-211859,Reactome,7,198,2.13,2.81,1.07,0.14222415213051298,"ADH7, CYP39A1, CYP3A43, GLYATL1, UGT1A10, UGT3A1, UGT3A2",0.3446200609316276
DNA Replication R-HSA-69306,Reactome,6,151,2.39,3.39,1.04,0.14956015033074804,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17, RPA4",0.3589443607937953
Chromosome Maintenance R-HSA-73886,Reactome,5,110,2.73,3.82,1.02,0.1532515668243386,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.3628724259291861
Type I diabetes mellitus,KEGG,2,33,3.64,1.63,1.02,0.15483863003299053,"HLA-DPA1, HLA-DPB1",0.3628724259291861
DNA Double-Strand Break Repair R-HSA-5693532,Reactome,5,134,2.24,2.32,1.01,0.1555167539696512,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.3628724259291861
Interferon Gamma Signaling R-HSA-877300,Reactome,3,73,2.47,1.6,0.93,0.17527330497684973,"GBP2, HLA-DPA1, HLA-DQB2",0.4041364720026978
Degradation Of Extracellular Matrix R-HSA-1474228,Reactome,4,106,2.27,2.03,0.93,0.17640877746149508,"CTSG, CTSL, CTSV, SPOCK3",0.4041364720026978
Ub-specific Processing Proteases R-HSA-5689880,Reactome,5,157,1.92,1.79,0.89,0.18807078210967199,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.4269715053300661
tRNA Modification In Nucleus And Cytosol R-HSA-6782315,Reactome,2,40,3.01,1.45,0.86,0.19542424384210932,"ADAT3, CTU1",0.43970454864474595
Intraflagellar Transport R-HSA-5620924,Reactome,2,34,3.54,2.47,0.8,0.21251202295035998,"DYNC2I1, TRIP11",0.4739206175530152
Intestinal immune network for IgA production,KEGG,2,43,2.8,1.63,0.73,0.23127642147401994,"HLA-DPA1, HLA-DPB1",0.5088086484609374
Cell Surface Interactions At Vascular Wall R-HSA-202733,Reactome,4,112,2.15,2.76,0.73,0.23219442290876113,"CD74, SIRPA, SLC16A1, TNFRSF10B",0.5088086484609374
Signaling By Nuclear Receptors R-HSA-9006931,Reactome,7,250,1.68,2.6,0.72,0.23424059849459905,"ADH7, CETP, H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.5088675070744738
Viral myocarditis,KEGG,2,46,2.61,1.63,0.67,0.252954743781727,"HLA-DPA1, HLA-DPB1",0.5448256019914121
Downstream TCR Signaling R-HSA-202424,Reactome,3,88,2.05,1.91,0.63,0.2653916008780143,"HLA-DPA1, HLA-DQB2, TARP",0.5637005252459246
Rheumatoid arthritis,KEGG,3,81,2.23,2.69,0.61,0.2699781058979567,"CTSL, HLA-DPA1, HLA-DPB1",0.5637005252459246
Class C/3 (Metabotropic Glutamate/Pheromone Receptors) R-HSA-420499,Reactome,2,37,3.25,3.48,0.61,0.2708848243482541,"TAS2R14, UBD",0.5637005252459246
ESR-mediated Signaling R-HSA-8939211,Reactome,5,179,1.68,2.25,0.6,0.2749730322030237,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.5637005252459246
Pyrimidine metabolism,KEGG,2,54,2.23,1.16,0.6,0.275427583730801,"PNP, TYMP",0.5637005252459246
Apical Surface,Hallmark,2,43,2.8,2.5,0.59,0.27669489527074087,"CD160, CX3CL1",0.5637005252459246
Necroptosis,KEGG,4,135,1.78,2.09,0.59,0.27837432903704384,"H2AC17, IFNB1, MLKL, TNFRSF10B",0.5637005252459246
