gene,taxa_count,codon_length,fn,max_lrt,psi_contrast,max_rho_contrast,p_evd_track_a,max_synergy_contrast,top3_synergy_contrast,best_site_codon,best_site_lrt,best_site_rho,valid_clades,pos_clades,pos_delta_sum,net_delta,delta_bovids,delta_camelids,delta_lagomorphs,delta_felids,delta_equids,delta_rodents,z_track_b,z_score,p_track_b,q_track_b,rank_track_b,q_track_a,rank_track_a,p_combined,p_value,fdr_q,psi_score,psi_track_b,max_rho_track_a,composite_rank,tier
HOXD13,681,374,0.10442394018173218,41.61770248413086,0.009738109440424582,0.3162277340888977,2.700617507400329e-13,3.8662192821502686,1.9901981353759766,297,12.226059913635254,0.3162277340888977,5,3,0.03769716100566628,0.012959111683428058,0.009838137124752346,-0.014858930912706635,0.012092605003416208,,-0.009879118409531588,0.015766418877497728,-0.9938165767423356,-0.9938165767423356,0.8398439128505565,0.9421805416666497,14515,4.845626242595219e-11,375,5.401235014801387e-13,5.401235014801387e-13,9.691496794273247e-11,0.009738109440424582,0.009738109440424582,0.3162277340888977,32,Tier 0: Core Bottleneck Transducer
C1orf21,707,121,0.04613209143280983,36.96511459350586,0.014062240636461467,0.28867512941360474,2.816080701961313e-13,4.88254451751709,3.4665143489837646,36,25.47747802734375,0.19164159893989563,6,3,0.10925789977283464,0.10925789977283464,0.0,0.05952074572844535,0.039811790925804516,0.0,0.0,0.009925363118584754,-0.059203775779081286,-0.059203775779081286,0.5236050988584036,0.8830152778136249,9535,4.845626242595219e-11,641,5.631606292411107e-13,5.631606292411107e-13,9.691496794273247e-11,0.014062240636461467,0.014062240636461467,0.28867512941360474,33,Tier 0: Core Bottleneck Transducer
ELAVL1,699,339,0.043929729610681534,41.85462951660156,0.006950733293959532,0.28867512941360474,2.8449465006015587e-13,7.329780101776123,4.205404281616211,261,25.391103744506836,0.28867512941360474,6,2,0.04522599053432932,-0.013506717033161563,0.014173335992131135,0.0,0.03105265454219818,-0.02160920705270568,-0.014607507129442211,-0.02251599338534299,-1.5025628111418947,-1.5025628111418947,0.9335240903190685,0.979794153190829,15515,4.845626242595219e-11,641,5.689337889691615e-13,5.689337889691615e-13,9.691496794273247e-11,0.006950733293959532,0.006950733293959532,0.28867512941360474,34,Tier 0: Core Bottleneck Transducer
CDK16,694,506,0.10114935785531998,41.91801452636719,0.006993723570494967,0.3162277638912201,2.95319324550248e-13,2.330554246902466,1.6473054885864258,262,7.36985969543457,0.3162277638912201,5,2,0.02938809342888503,0.018563966329054646,0.011744890095688455,0.017643203333196574,,-1.4011360605455037e-05,-0.006156392049461857,-0.004653723689763073,-1.5073102365285136,-1.5073102365285136,0.9341344225259705,0.9801188747688726,15520,4.845626242595219e-11,237,5.90583137949352e-13,5.90583137949352e-13,9.691496794273247e-11,0.006993723570494967,0.006993723570494967,0.3162277638912201,35,Tier 0: Core Bottleneck Transducer
NEK7,711,321,0.05799734219908714,42.06093215942383,0.00983995397953592,0.28867509961128235,2.95763413760098e-13,2.3341846466064453,1.1384519338607788,280,8.085853576660156,0.28867509961128235,6,2,0.04626166286080849,-0.01831884653560709,0.018661203556427856,0.027600459304380636,-0.0288503595037763,-0.0222961976917172,-0.009886048745858878,-0.0035479034550632,-0.8932658509121449,-0.8932658509121449,0.8141425895417729,0.9325584323700548,14216,4.845626242595219e-11,1472,5.915823386715147e-13,5.915823386715147e-13,9.691496794273247e-11,0.00983995397953592,0.00983995397953592,0.28867509961128235,36,Tier 0: Core Bottleneck Transducer
AMELY,496,203,0.16619354486465454,38.87275695800781,0.018138167387246527,0.3535533547401428,2.972622148433415e-13,2.0654702186584473,1.8921438455581665,46,11.726778984069824,0.17613278329372406,4,2,0.05947083412534318,0.03601201990754107,-0.0008207304766584238,0.046695206293160804,,-0.022638083741143684,,0.012775627832182378,0.04042143203862175,0.04042143203862175,0.48387857195742184,0.8830152778136249,8660,4.845626242595219e-11,157,5.945244296867713e-13,5.945244296867713e-13,9.691496794273247e-11,0.018138167387246527,0.018138167387246527,0.3535533547401428,37,Tier 0: Core Bottleneck Transducer
CASTOR1,706,298,0.10157043486833572,40.94821548461914,0.016026467798728142,0.3006470203399658,2.972622148433415e-13,1.3412128686904907,1.2067807912826538,74,4.461088180541992,0.3006470203399658,6,3,0.05365334220596832,0.021307866912382442,0.011828997657298673,0.024524320114508266,-0.0010013531581355305,-0.017110106778972362,-0.014234015356477983,0.017300024434161378,0.33102904846131415,0.33102904846131415,0.37031127192691177,0.8830152778136249,5902,4.845626242595219e-11,453,5.945244296867713e-13,5.945244296867713e-13,9.691496794273247e-11,0.016026467798728142,0.016026467798728142,0.3006470203399658,38,Tier 0: Core Bottleneck Transducer
SLC25A25,703,510,0.10024946182966232,36.52937698364258,0.01524129534702494,0.30081382393836975,2.972622148433415e-13,3.249188184738159,2.591061592102051,37,31.195772171020508,0.10415475815534592,6,4,0.08397524331571568,0.05442120244097938,0.009230162304616301,0.05109451195833895,0.013130645796010554,-0.009679961007799555,-0.019874079866936747,0.010519923256749872,0.16612331385093027,0.16612331385093027,0.43402995363611085,0.8830152778136249,7498,4.845626242595219e-11,452,5.945244296867713e-13,5.945244296867713e-13,9.691496794273247e-11,0.01524129534702494,0.01524129534702494,0.30081382393836975,39,Tier 0: Core Bottleneck Transducer
RNASE7,511,173,0.2503446936607361,36.69078063964844,0.016801646003750448,0.3535533845424652,3.0114799542952837e-13,5.516002655029297,3.562833070755005,75,15.601611137390137,0.3535533845424652,4,2,0.04042908441539425,0.008849827842851826,,0.034393052453437274,0.006036031961956978,-0.01610624003145649,-0.015473016541085934,,-0.16173580576204633,-0.16173580576204633,0.5642430465897563,0.8830152778136249,10376,4.845626242595219e-11,122,6.022959908591474e-13,6.022959908591474e-13,9.691496794273247e-11,0.016801646003750448,0.016801646003750448,0.3535533845424652,40,Tier 0: Core Bottleneck Transducer
TMEM92,672,196,0.23539592325687408,34.30741882324219,0.013239963717141886,0.3162277638912201,3.0114799542952837e-13,1.7640819549560547,1.0833289623260498,196,5.578516960144043,0.3162277638912201,5,3,0.04309810207573478,0.01624283581351652,0.009483662973954863,0.029907663583431773,0.003706775518348148,-0.011706523954031463,-0.015148742308186799,,-0.3185411848056586,-0.3185411848056586,0.6249627703478423,0.8850271242823369,11498,4.845626242595219e-11,237,6.022959908591474e-13,6.022959908591474e-13,9.691496794273247e-11,0.013239963717141886,0.013239963717141886,0.3162277638912201,41,Tier 0: Core Bottleneck Transducer
